status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
停工,30,山东,2018-05-31 15:20:43,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,170,山东,2018-05-31 15:20:43,4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,110,山东,2018-05-31 15:20:43,17日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,160,山东,2018-05-31 15:20:43,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,100,山东,2018-05-31 15:20:43,4月计划量3-4万吨,地炼,科力达,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,60,山东,2018-05-31 15:20:43,开工时间待定，4月计划量3万,地炼,岚桥石化,http://oil.chem99.com/news/27964803.html,2018-04-19
停工,30,华南,2018-05-31 15:20:43,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,40,西南,2018-05-31 15:20:43,装置开工，本周正常出货,中海油,中海四川,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,80,华东,2018-05-31 15:20:43,4月10日开工产沥青,地炼,金海宏业,http://oil.chem99.com/news/27964803.html,2018-04-19
检修,70,华东,2018-05-31 15:20:43,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27964803.html,2018-04-19
开工,75,华东,2018-05-31 15:20:43,4月3日开工产沥青,地炼,阿尔法,http://oil.chem99.com/news/27964803.html,2018-04-19
产渣油,100,华北,2018-05-31 15:20:43,11月中旬-2018年4月下旬,地炼,鑫海石化,http://oil.chem99.com/news/27964803.html,2018-04-19
产沥青,50,华北,2018-05-31 15:20:43,3月26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/27964803.html,2018-04-19
扩产能,70,华北,2018-05-31 15:20:43,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27964803.html,2018-04-19
停工,50,西北,2018-05-31 15:20:43,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27964803.html,2018-04-19
停工,30,山东,2018-05-31 15:20:45,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28032672.html,2018-04-26
产渣油,170,山东,2018-05-31 15:20:45,y预计5月4日转产沥青,地炼,东明石化,http://oil.chem99.com/news/28032672.html,2018-04-26
产沥青,110,山东,2018-05-31 15:20:45,17日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/28032672.html,2018-04-26
产渣油,160,山东,2018-05-31 15:20:45,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/28032672.html,2018-04-26
产沥青,100,山东,2018-05-31 15:20:45,4月计划量3-4万吨,地炼,科力达,http://oil.chem99.com/news/28032672.html,2018-04-26
未产,60,山东,2018-05-31 15:20:45,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28032672.html,2018-04-26
停工,30,华南,2018-05-31 15:20:45,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28032672.html,2018-04-26
产沥青,40,西南,2018-05-31 15:20:45,正常出货,中海油,中海四川,http://oil.chem99.com/news/28032672.html,2018-04-26
产沥青,80,华东,2018-05-31 15:20:45,4月10日开工产沥青,地炼,金海宏业,http://oil.chem99.com/news/28032672.html,2018-04-26
检修,70,华东,2018-05-31 15:20:45,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28032672.html,2018-04-26
开工,75,华东,2018-05-31 15:20:45,4月3日开工产沥青,地炼,阿尔法,http://oil.chem99.com/news/28032672.html,2018-04-26
产渣油,70,华东,2018-05-31 15:20:45,4月23号-5月3号沥青停产,中石化,上海石化,http://oil.chem99.com/news/28032672.html,2018-04-26
产沥青,100,华北,2018-05-31 15:20:45,预计5月初恢复供应,地炼,鑫海石化,http://oil.chem99.com/news/28032672.html,2018-04-26
产沥青,50,华北,2018-05-31 15:20:45,3月26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/28032672.html,2018-04-26
扩产能,70,华北,2018-05-31 15:20:45,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/28032672.html,2018-04-26
停工,50,西北,2018-05-31 15:20:45,预计5月初恢复供应,中石化,塔河炼化,http://oil.chem99.com/news/28032672.html,2018-04-26
停工,30,山东,2018-05-31 15:20:50,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28090766.html,2018-05-03
产沥青,170,山东,2018-05-31 15:20:50,今日转产沥青,地炼,东明石化,http://oil.chem99.com/news/28090766.html,2018-05-03
产渣油,160,山东,2018-05-31 15:20:50,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/28090766.html,2018-05-03
未产,60,山东,2018-05-31 15:20:50,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28090766.html,2018-05-03
停工,30,华南,2018-05-31 15:20:50,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28090766.html,2018-05-03
检修,70,华东,2018-05-31 15:20:50,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28090766.html,2018-05-03
产渣油,70,华东,2018-05-31 15:20:50,预计6号左右恢复生产,中石化,上海石化,http://oil.chem99.com/news/28090766.html,2018-05-03
