status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
检修,60,华东,2018-05-31 16:29:43,6月初-7月中旬,中石油,中油兴能,http://oil.chem99.com/news/24831558.html,2017-05-18
3#常减压检修,90,华东,2018-05-31 16:29:43,4月12日-5月底,中石化,上海石化,http://oil.chem99.com/news/24831558.html,2017-05-18
停工,30,山东,2018-05-31 16:29:43,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/24831558.html,2017-05-18
检修,120,山东,2018-05-31 16:29:43,5月15日-6月中旬,中石化,齐鲁石化,http://oil.chem99.com/news/24831558.html,2017-05-18
转产,100,山东,2018-05-31 16:29:43,5月上旬-5月22日,地炼,滨阳燃化,http://oil.chem99.com/news/24831558.html,2017-05-18
停工,60,华南,2018-05-31 16:29:43,16年9月中旬-2017年3月,地炼,珠海华峰,http://oil.chem99.com/news/24831558.html,2017-05-18
停工,30,山东,2018-05-31 16:29:44,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/26359105.html,2017-10-26
检修,60,河北,2018-05-31 16:29:44,10月初-11月初,地炼,鑫海石化,http://oil.chem99.com/news/26359105.html,2017-10-26
停工,30,广东,2018-05-31 16:29:44,10月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/26359105.html,2017-10-26
检修,60,江苏,2018-05-31 16:29:44,11月上旬-12月中旬,中海油,泰州石化,http://oil.chem99.com/news/26359105.html,2017-10-26
检修,70,河北,2018-05-31 16:29:44,检修推迟至2018年,中油,秦皇岛,http://oil.chem99.com/news/26359105.html,2017-10-26
,,华南,2018-05-31 16:29:47,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,华东,2018-05-31 16:29:47,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,山东,2018-05-31 16:29:47,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,东北,2018-05-31 16:29:47,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,西北,2018-05-31 16:29:47,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
,,西南,2018-05-31 16:29:47,,,,http://oil.chem99.com/news/27176834.html,2018-01-18
停工,30,山东,2018-05-31 16:29:49,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,170,山东,2018-05-31 16:29:49,推迟至4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27699085.html,2018-03-22
产沥青,110,山东,2018-05-31 16:29:49,4日起转沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,160,山东,2018-05-31 16:29:49,12月下旬起,地炼,中化弘润,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,100,山东,2018-05-31 16:29:49,计划下周转产沥青,地炼,科力达,http://oil.chem99.com/news/27699085.html,2018-03-22
产沥青,60,山东,2018-05-31 16:29:49,给中油代加工，预计下周出产品,地炼,岚桥石化,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,30,华南,2018-05-31 16:29:49,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27699085.html,2018-03-22
检修,40,西南,2018-05-31 16:29:49,1月15日至待定,中海油,中海四川,http://oil.chem99.com/news/27699085.html,2018-03-22
停产,80,华东,2018-05-31 16:29:50,1月8日至3月下旬,地炼,金海宏业,http://oil.chem99.com/news/27699085.html,2018-03-22
检修,70,华东,2018-05-31 16:29:50,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27699085.html,2018-03-22
检修,75,华东,2018-05-31 16:29:50,2月1日-3月下旬,地炼,阿尔法,http://oil.chem99.com/news/27699085.html,2018-03-22
产渣油,100,华北,2018-05-31 16:29:50,11月中旬-2018年3月,地炼,鑫海石化,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,50,华北,2018-05-31 16:29:50,月底有开工计划,地炼,凯意石化,http://oil.chem99.com/news/27699085.html,2018-03-22
扩产能,70,华北,2018-05-31 16:29:50,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27699085.html,2018-03-22
停工,50,西北,2018-05-31 16:29:50,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27699085.html,2018-03-22
,,华南,2018-05-31 16:29:52,,,,http://oil.chem99.com/news/27770187.html,2018-03-29
,,华东,2018-05-31 16:29:52,,,,http://oil.chem99.com/news/27770187.html,2018-03-29
,,山东,2018-05-31 16:29:52,,,,http://oil.chem99.com/news/27770187.html,2018-03-29
,,东北,2018-05-31 16:29:52,,,,http://oil.chem99.com/news/27770187.html,2018-03-29
,,西北,2018-05-31 16:29:53,,,,http://oil.chem99.com/news/27770187.html,2018-03-29
,,西南,2018-05-31 16:29:53,,,,http://oil.chem99.com/news/27770187.html,2018-03-29
停工,30,山东,2018-05-31 16:29:53,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27770232.html,2018-03-29
产渣油,170,山东,2018-05-31 16:29:53,推迟至4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,110,山东,2018-05-31 16:29:53,4日起转沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,160,山东,2018-05-31 16:29:53,转产沥青，预计下周出产品,地炼,中化弘润,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,100,山东,2018-05-31 16:29:53,日产1000吨左右,地炼,科力达,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,60,山东,2018-05-31 16:29:53,代加工，预计4月1日开工，计划量3万,地炼,岚桥石化,http://oil.chem99.com/news/27770232.html,2018-03-29
停工,30,华南,2018-05-31 16:29:53,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/27770232.html,2018-03-29
检修,40,西南,2018-05-31 16:29:53,近期有开工计划,中海油,中海四川,http://oil.chem99.com/news/27770232.html,2018-03-29
停产,80,华东,2018-05-31 16:29:53,1月8日至4月中旬,地炼,金海宏业,http://oil.chem99.com/news/27770232.html,2018-03-29
检修,70,华东,2018-05-31 16:29:53,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/27770232.html,2018-03-29
检修,75,华东,2018-05-31 16:29:53,2月1日-4月中旬,地炼,阿尔法,http://oil.chem99.com/news/27770232.html,2018-03-29
产渣油,100,华北,2018-05-31 16:29:53,11月中旬-2018年4月下旬,地炼,鑫海石化,http://oil.chem99.com/news/27770232.html,2018-03-29
产沥青,50,华北,2018-05-31 16:29:53,26日起生产沥青,地炼,凯意石化,http://oil.chem99.com/news/27770232.html,2018-03-29
扩产能,70,华北,2018-05-31 16:29:53,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/27770232.html,2018-03-29
停工,50,西北,2018-05-31 16:29:54,2月初停工，计划3月检修至4月底,中石化,塔河炼化,http://oil.chem99.com/news/27770232.html,2018-03-29
,,华南,2018-05-31 16:29:56,,,,http://oil.chem99.com/news/27827419.html,2018-04-04
,,华东,2018-05-31 16:29:56,,,,http://oil.chem99.com/news/27827419.html,2018-04-04
,,山东,2018-05-31 16:29:56,,,,http://oil.chem99.com/news/27827419.html,2018-04-04
,,东北,2018-05-31 16:29:56,,,,http://oil.chem99.com/news/27827419.html,2018-04-04
,,西北,2018-05-31 16:29:56,,,,http://oil.chem99.com/news/27827419.html,2018-04-04
,,西南,2018-05-31 16:29:56,,,,http://oil.chem99.com/news/27827419.html,2018-04-04
停工,30,山东,2018-05-31 16:29:59,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,170,山东,2018-05-31 16:29:59,4月1日转产沥青,地炼,东明石化,http://oil.chem99.com/news/27827453.html,2018-04-04
产沥青,110,山东,2018-05-31 16:29:59,4日起转沥青,地炼,滨阳燃化,http://oil.chem99.com/news/27827453.html,2018-04-04
