pre_cumu_value_y,cumu_value_y,mom,update_dt,item_name,cls_type,source,pre_year_value,cumu_yoy,datemonth,yoy,datadate,curr_month_value,pre_month_value
91.59,86.7,27.98%,2018-06-01 15:58:52,华北,地区,http://oil.chem99.com/news/25681814.html,19.02,-5.34%,21.5,13.04%,2017-08-14,21.5,16.8
199.56,228.2,8.29%,2018-06-01 15:58:52,东北,地区,http://oil.chem99.com/news/25681814.html,39.06,14.35%,21.5,-2.97%,2017-08-14,37.9,35
361.55,347.79,10.66%,2018-06-01 15:58:52,山东,地区,http://oil.chem99.com/news/25681814.html,56.4,-3.81%,21.5,13.01%,2017-08-14,63.74,57.6
357.64,350.45,2.22%,2018-06-01 15:58:52,华东,地区,http://oil.chem99.com/news/25681814.html,55.22,-2.01%,21.5,4.04%,2017-08-14,57.45,56.2
10.93,14.38,4.76%,2018-06-01 15:58:52,华中,地区,http://oil.chem99.com/news/25681814.html,0.75,31.56%,21.5,193.33%,2017-08-14,2.2,2.1
215.55,199.9,-12.97%,2018-06-01 15:58:52,华南,地区,http://oil.chem99.com/news/25681814.html,36.6,-7.26%,21.5,-30.33%,2017-08-14,25.5,29.3
17.7,21.3,4.00%,2018-06-01 15:58:52,西南,地区,http://oil.chem99.com/news/25681814.html,2.7,20.34%,21.5,-3.70%,2017-08-14,2.6,2.5
98.66,76.34,13.85%,2018-06-01 15:58:52,西北,地区,http://oil.chem99.com/news/25681814.html,14.5,-22.62%,21.5,2.07%,2017-08-14,14.8,13
106.89,105.6,-12.09%,2018-06-01 15:58:59,华北,地区,http://oil.chem99.com/news/26039979.html,15.3,-1.21%,18.9,23.53%,2017-09-19,18.9,21.5
235.76,270.5,11.61%,2018-06-01 15:58:59,东北,地区,http://oil.chem99.com/news/26039979.html,36.2,14.74%,18.9,16.85%,2017-09-19,42.3,37.9
419.45,415.69,6.53%,2018-06-01 15:58:59,山东,地区,http://oil.chem99.com/news/26039979.html,57.9,-0.90%,18.9,17.27%,2017-09-19,67.9,63.74
418.04,420.25,21.50%,2018-06-01 15:58:59,华东,地区,http://oil.chem99.com/news/26039979.html,60.4,0.53%,18.9,15.56%,2017-09-19,69.8,57.45
12.33,16.48,-4.55%,2018-06-01 15:58:59,华中,地区,http://oil.chem99.com/news/26039979.html,1.4,33.66%,18.9,50.00%,2017-09-19,2.1,2.2
249.75,227.6,8.63%,2018-06-01 15:58:59,华南,地区,http://oil.chem99.com/news/26039979.html,34.2,-8.87%,18.9,-19.01%,2017-09-19,27.7,25.5
20.2,23.6,-11.54%,2018-06-01 15:58:59,西南,地区,http://oil.chem99.com/news/26039979.html,2.5,16.83%,18.9,-8.00%,2017-09-19,2.3,2.6
114.06,89.94,-8.11%,2018-06-01 15:58:59,西北,地区,http://oil.chem99.com/news/26039979.html,15.4,-21.15%,18.9,-11.69%,2017-09-19,13.6,14.8
124.05,127.6,16.40%,2018-06-01 15:59:06,华北,地区,http://oil.chem99.com/news/26250057.html,17.16,2.86%,22,28.21%,2017-10-16,22,18.9
264.06,318.36,13.14%,2018-06-01 15:59:06,东北,地区,http://oil.chem99.com/news/26250057.html,28.3,20.56%,22,69.12%,2017-10-16,47.86,42.3
477.95,489.99,9.43%,2018-06-01 15:59:06,山东,地区,http://oil.chem99.com/news/26250057.html,58.5,2.52%,22,27.01%,2017-10-16,74.3,67.9
475.64,487.6,-3.51%,2018-06-01 15:59:06,华东,地区,http://oil.chem99.com/news/26250057.html,57.6,2.51%,22,16.93%,2017-10-16,67.35,69.8
13.86,18.98,19.05%,2018-06-01 15:59:06,华中,地区,http://oil.chem99.com/news/26250057.html,1.53,36.94%,22,63.40%,2017-10-16,2.5,2.1
285.55,262.2,24.91%,2018-06-01 15:59:06,华南,地区,http://oil.chem99.com/news/26250057.html,35.8,-8.18%,22,-3.35%,2017-10-16,34.6,27.7
23.1,26.1,8.70%,2018-06-01 15:59:06,西南,地区,http://oil.chem99.com/news/26250057.html,2.9,12.99%,22,-13.79%,2017-10-16,2.5,2.3
128.46,102.94,-4.41%,2018-06-01 15:59:06,西北,地区,http://oil.chem99.com/news/26250057.html,14.4,-19.87%,22,-9.72%,2017-10-16,13,13.6
140.67,143.8,-20.45%,2018-06-01 15:59:20,华北,地区,http://oil.chem99.com/news/26489684.html,16.6,2.23%,17.5,5.42%,2017-11-09,17.5,22
295.26,376.38,-13.46%,2018-06-01 15:59:20,东北,地区,http://oil.chem99.com/news/26489684.html,31.2,27.47%,17.5,32.76%,2017-11-09,41.42,47.86
534.05,579.14,-7.13%,2018-06-01 15:59:20,山东,地区,http://oil.chem99.com/news/26489684.html,57,8.44%,17.5,21.05%,2017-11-09,69,74.3
488.99,551.93,0.37%,2018-06-01 15:59:20,华东,地区,http://oil.chem99.com/news/26489684.html,62.1,12.87%,17.5,8.86%,2017-11-09,67.6,67.35
15.46,20.46,-40.00%,2018-06-01 15:59:20,华中,地区,http://oil.chem99.com/news/26489684.html,1.6,32.34%,17.5,-6.25%,2017-11-09,1.5,2.5
320.97,300.5,8.38%,2018-06-01 15:59:20,华南,地区,http://oil.chem99.com/news/26489684.html,35.4,-6.38%,17.5,5.93%,2017-11-09,37.5,34.6
25.92,28.6,0.00%,2018-06-01 15:59:20,西南,地区,http://oil.chem99.com/news/26489684.html,2.82,10.34%,17.5,-11.35%,2017-11-09,2.5,2.5
140.91,116.04,3.08%,2018-06-01 15:59:20,西北,地区,http://oil.chem99.com/news/26489684.html,12.5,-17.65%,17.5,7.20%,2017-11-09,13.4,13
51.6,65.39,-11.77%,2018-06-01 15:59:31,东北,地区,http://oil.chem99.com/news/27566961.html,27,26.72%,30.65,13.52%,2018-03-09,30.65,34.74
15.2,6.85,-28.75%,2018-06-01 15:59:31,华北,地区,http://oil.chem99.com/news/27566961.html,7.4,-54.93%,30.65,-61.49%,2018-03-09,2.85,4
81.4,91.45,-15.22%,2018-06-01 15:59:31,华东,地区,http://oil.chem99.com/news/27566961.html,40.2,12.35%,30.65,4.38%,2018-03-09,41.96,49.49
60.6,58.93,-13.92%,2018-06-01 15:59:31,华南,地区,http://oil.chem99.com/news/27566961.html,31.4,-2.76%,30.65,-13.18%,2018-03-09,27.26,31.67
2.48,2.61,-46.47%,2018-06-01 15:59:31,华中,地区,http://oil.chem99.com/news/27566961.html,1.18,5.24%,30.65,-22.88%,2018-03-09,0.91,1.7
94.5,88.12,-15.07%,2018-06-01 15:59:31,山东,地区,http://oil.chem99.com/news/27566961.html,49.2,-6.75%,30.65,-17.74%,2018-03-09,40.47,47.65
15.24,20.65,-19.65%,2018-06-01 15:59:31,西北,地区,http://oil.chem99.com/news/27566961.html,8.9,35.50%,30.65,3.37%,2018-03-09,9.2,11.45
2,1.5,-100.00%,2018-06-01 15:59:31,西南,地区,http://oil.chem99.com/news/27566961.html,0.2,-25.00%,30.65,-100.00%,2018-03-09,0,1.5
86.3,99.26,10.51%,2018-06-01 15:59:45,东北,地区,http://oil.chem99.com/news/27879023.html,34.7,15.02%,33.87,-2.39%,2018-04-11,33.87,30.65
24.3,12.97,114.74%,2018-06-01 15:59:45,华北,地区,http://oil.chem99.com/news/27879023.html,9.1,-46.63%,33.87,-32.75%,2018-04-11,6.12,2.85
130.6,144.86,27.29%,2018-06-01 15:59:45,华东,地区,http://oil.chem99.com/news/27879023.html,49.2,10.92%,33.87,8.56%,2018-04-11,53.41,41.96
87.5,93.16,25.57%,2018-06-01 15:59:45,华南,地区,http://oil.chem99.com/news/27879023.html,26.9,6.47%,33.87,27.25%,2018-04-11,34.23,27.26
4.98,3.72,21.98%,2018-06-01 15:59:45,华中,地区,http://oil.chem99.com/news/27879023.html,2.5,-25.30%,33.87,-55.60%,2018-04-11,1.11,0.91
142.5,133.77,12.80%,2018-06-01 15:59:45,山东,地区,http://oil.chem99.com/news/27879023.html,48,-6.13%,33.87,-4.90%,2018-04-11,45.65,40.47
23.84,33.59,40.65%,2018-06-01 15:59:45,西北,地区,http://oil.chem99.com/news/27879023.html,8.6,40.90%,33.87,50.47%,2018-04-11,12.94,9.2
6.3,1.5,#DIV/0!,2018-06-01 15:59:45,西南,地区,http://oil.chem99.com/news/27879023.html,4.3,-76.19%,33.87,-100.00%,2018-04-11,0,0
506.32,522.83,22.20%,2018-06-01 15:59:45,总计,地区,http://oil.chem99.com/news/27879023.html,183.3,3.26%,33.87,2.20%,2018-04-11,187.33,153.3
124.4,138.37,15.47%,2018-06-01 15:59:56,东北,地区,http://oil.chem99.com/news/28156799.html,38.1,11.23%,39.11,2.65%,2018-05-10,39.11,33.87
34,20.37,20.92%,2018-06-01 15:59:56,华北,地区,http://oil.chem99.com/news/28156799.html,9.7,-40.09%,39.11,-23.71%,2018-05-10,7.4,6.12
181.63,199.96,3.16%,2018-06-01 15:59:56,华东,地区,http://oil.chem99.com/news/28156799.html,51.03,10.09%,39.11,7.98%,2018-05-10,55.1,53.41
112.8,130.06,7.80%,2018-06-01 15:59:56,华南,地区,http://oil.chem99.com/news/28156799.html,25.3,15.30%,39.11,45.85%,2018-05-10,36.9,34.23
8.08,4.82,-0.90%,2018-06-01 15:59:56,华中,地区,http://oil.chem99.com/news/28156799.html,3.1,-40.35%,39.11,-64.52%,2018-05-10,1.1,1.11
190.3,191.97,27.49%,2018-06-01 15:59:56,山东,地区,http://oil.chem99.com/news/28156799.html,47.8,0.88%,39.11,21.76%,2018-05-10,58.2,45.65
35.94,44.49,-15.77%,2018-06-01 15:59:56,西北,地区,http://oil.chem99.com/news/28156799.html,12.1,23.79%,39.11,-9.92%,2018-05-10,10.9,12.94
10.7,3,#DIV/0!,2018-06-01 15:59:56,西南,地区,http://oil.chem99.com/news/28156799.html,4.4,-71.96%,39.11,-65.91%,2018-05-10,1.5,0
697.85,730.04,12.21%,2018-06-01 15:59:56,总计,地区,http://oil.chem99.com/news/28156799.html,191.53,4.61%,39.11,9.75%,2018-05-10,210.21,187.33
154.77,157.65,-20.86%,2018-06-01 16:00:01,华北,地区,http://oil.chem99.com/news/26783529.html,14.1,1.86%,13.85,-1.77%,2017-12-08,13.85,17.5
323.66,412.63,-12.48%,2018-06-01 16:00:01,东北,地区,http://oil.chem99.com/news/26783529.html,28.4,27.49%,13.85,27.64%,2017-12-08,36.25,41.42
592.45,647.64,-0.72%,2018-06-01 16:00:01,山东,地区,http://oil.chem99.com/news/26783529.html,58.4,9.32%,13.85,17.29%,2017-12-08,68.5,69
543.39,617.53,-2.96%,2018-06-01 16:00:01,华东,地区,http://oil.chem99.com/news/26783529.html,54.4,13.64%,13.85,20.59%,2017-12-08,65.6,67.6
