wti_date_range,fx_rate,update_dt,settle_prc,wti_price_avg,source,tongs_barrels_ratio,datemonth,discount_value,datadate
4月1日-30日,--,2018-06-01 14:15:29,--,66.33,http://oil.chem99.com/news/28255561.html,6.5899,5月份,-0.8412,2018-05-21
上月26日-本月25日,6.2953,2018-06-01 14:15:34,3227,65.8223,http://oil.chem99.com/news/28102908.html,6.5953,4月份,-2.4448,2018-05-04
wti_date_range,fx_rate,update_dt,settle_prc,wti_price_avg,source,tongs_barrels_ratio,datemonth,discount_value,datadate
上月26日-本月25日,6.2953,2018-06-01 14:41:09,3227,65.8223,http://oil.chem99.com/news/28102908.html,6.5953,4月份,-2.4448,2018-05-04
4月1日-30日,--,2018-06-01 14:41:15,--,66.33,http://oil.chem99.com/news/28255561.html,6.5899,5月份,-0.8412,2018-05-21
wti_date_range,fx_rate,update_dt,settle_prc,wti_price_avg,source,tongs_barrels_ratio,datemonth,discount_value,datadate
上月26-本月25,6.6233,2018-06-01 14:42:39,2730,51.239,http://oil.chem99.com/news/26412114.html,6.5863,10月份,0.0492,2017-11-01
上月26-本月25,--,2018-06-01 14:42:45,--,--,http://oil.chem99.com/news/26565616.html,6.5993,10月份,0.6578,2017-11-16
上月26-本月25,6.6374,2018-06-01 14:42:52,3022,55.9138,http://oil.chem99.com/news/26677258.html,6.5993,11月份,0.6578,2017-11-28
11月1日-30日,--,2018-06-01 14:42:59,--,56.66,http://oil.chem99.com/news/26744537.html,6.5758,12月份,0.0367,2017-12-05
上月26-本月25,6.6141,2018-06-01 14:43:04,3060,57.4935,http://oil.chem99.com/news/27023519.html,6.5758,12月份,0.0367,2018-01-03
12月1日-31日,--,2018-06-01 14:43:10,--,57.95,http://oil.chem99.com/news/27418145.html,6.5843,1月份,-0.2173,2018-01-09
上月26-本月25,6.4728,2018-06-01 14:43:15,3263,62.7309,http://oil.chem99.com/news/27418284.html,6.5843,1月份,-0.2173,2018-02-23
1月1日-31日,--,2018-06-01 14:43:20,--,63.66,http://oil.chem99.com/news/27418749.html,--,2月份,-1.1416,2018-02-23
1月26日-2月25日,6.3204,2018-06-01 14:43:26,3148,62.693,http://oil.chem99.com/news/27518059.html,6.5906,2月份,-1.1416,2018-03-05
上月26日-本月25日,6.3338,2018-06-01 14:43:33,3074,62.3325,http://oil.chem99.com/news/27814035.html,6.5919,3月份,-2.4448,2018-04-03
2月1日-28日,--,2018-06-01 14:43:39,--,62.18,http://oil.chem99.com/news/27574595.html,6.5919,3月份,-2.4448,2018-03-09
3月1日-31日,--,2018-06-01 14:43:46,--,62.77,http://oil.chem99.com/news/27888227.html,6.5953,4月份,-2.4448,2018-04-12
上月26日-本月25日,6.2953,2018-06-01 14:43:51,3227,65.8223,http://oil.chem99.com/news/28102908.html,6.5953,4月份,-2.4448,2018-05-04
4月1日-30日,--,2018-06-01 14:43:56,--,66.33,http://oil.chem99.com/news/28255561.html,6.5899,5月份,-0.8412,2018-05-21
wti_date_range,fx_rate,update_dt,settle_prc,wti_price_avg,source,tongs_barrels_ratio,datemonth,discount_value,datadate
4月1日-30日,--,2018-06-08 20:34:55,--,66.33,http://oil.chem99.com/news/28255561.html,6.5899,5月份,-0.8412,2018-05-21
5月1日-30日,--,2018-06-08 20:34:57,--,69.98,http://oil.chem99.com/news/28407565.html,6.5885,6月份,1.1721,2018-06-06
