pre_cumu_value_y,cumu_value_y,mom,update_dt,item_name,cls_type,source,pre_year_value,cumu_yoy,datemonth,yoy,datadate,curr_month_value,pre_month_value
165.84,179.56,5.32%,2018-06-08 20:30:17,东北,地区,http://oil.chem99.com/news/28442274.html,41.44,8.27%,2018年5月,-0.60%,2018-06-08,41.19,39.11
48.1,34.57,91.89%,2018-06-08 20:30:19,华北,地区,http://oil.chem99.com/news/28442274.html,14.1,-28.13%,2018年5月,0.71%,2018-06-08,14.2,7.4
232.63,253.56,-2.72%,2018-06-08 20:30:19,华东,地区,http://oil.chem99.com/news/28442274.html,51,9.00%,2018年5月,5.10%,2018-06-08,53.6,55.1
145,168.56,4.34%,2018-06-08 20:30:19,华南,地区,http://oil.chem99.com/news/28442274.html,32.2,16.25%,2018年5月,19.57%,2018-06-08,38.5,36.9
10.08,5.62,-27.27%,2018-06-08 20:30:19,华中,地区,http://oil.chem99.com/news/28442274.html,2,-44.25%,2018年5月,-60.00%,2018-06-08,0.8,1.1
241.3,257.07,11.86%,2018-06-08 20:30:19,山东,地区,http://oil.chem99.com/news/28442274.html,51,6.54%,2018年5月,27.65%,2018-06-08,65.1,58.2
48.54,54.69,-6.42%,2018-06-08 20:30:19,西北,地区,http://oil.chem99.com/news/28442274.html,12.6,12.67%,2018年5月,-19.05%,2018-06-08,10.2,10.9
15.7,6.2,113.33%,2018-06-08 20:30:19,西南,地区,http://oil.chem99.com/news/28442274.html,5,-60.51%,2018年5月,-36.00%,2018-06-08,3.2,1.5
907.19,959.83,7.89%,2018-06-08 20:30:19,总计,地区,http://oil.chem99.com/news/28442274.html,209.34,5.80%,2018年5月,8.34%,2018-06-08,226.79,210.21
51.6,65.39,-11.77%,2018-06-08 20:31:21,东北,地区,http://oil.chem99.com/news/27566961.html,27,26.72%,2018年2月,13.52%,2018-03-09,30.65,34.74
15.2,6.85,-28.75%,2018-06-08 20:31:21,华北,地区,http://oil.chem99.com/news/27566961.html,7.4,-54.93%,2018年2月,-61.49%,2018-03-09,2.85,4
81.4,91.45,-15.22%,2018-06-08 20:31:21,华东,地区,http://oil.chem99.com/news/27566961.html,40.2,12.35%,2018年2月,4.38%,2018-03-09,41.96,49.49
60.6,58.93,-13.92%,2018-06-08 20:31:21,华南,地区,http://oil.chem99.com/news/27566961.html,31.4,-2.76%,2018年2月,-13.18%,2018-03-09,27.26,31.67
2.48,2.61,-46.47%,2018-06-08 20:31:21,华中,地区,http://oil.chem99.com/news/27566961.html,1.18,5.24%,2018年2月,-22.88%,2018-03-09,0.91,1.7
94.5,88.12,-15.07%,2018-06-08 20:31:21,山东,地区,http://oil.chem99.com/news/27566961.html,49.2,-6.75%,2018年2月,-17.74%,2018-03-09,40.47,47.65
15.24,20.65,-19.65%,2018-06-08 20:31:21,西北,地区,http://oil.chem99.com/news/27566961.html,8.9,35.50%,2018年2月,3.37%,2018-03-09,9.2,11.45
2,1.5,-100.00%,2018-06-08 20:31:21,西南,地区,http://oil.chem99.com/news/27566961.html,0.2,-25.00%,2018年2月,-100.00%,2018-03-09,0,1.5
125.7,125.47,38.03%,2018-06-08 20:32:21,中石油,集团,http://oil.chem99.com/news/27878967.html,48.3,-0.18%,2018年3月,0.17%,2018-04-11,48.38,35.05
185.92,174.06,5.62%,2018-06-08 20:32:21,中石化,集团,http://oil.chem99.com/news/27878967.html,65.4,-6.38%,2018年3月,-10.93%,2018-04-11,58.25,55.15
42.8,58.8,21.43%,2018-06-08 20:32:21,中海油,集团,http://oil.chem99.com/news/27878967.html,15.4,37.38%,2018年3月,32.47%,2018-04-11,20.4,16.8
151.9,164.5,30.24%,2018-06-08 20:32:21,地方炼厂,集团,http://oil.chem99.com/news/27878967.html,54.2,8.29%,2018年3月,11.25%,2018-04-11,60.3,46.3
506.32,522.83,22.20%,2018-06-08 20:32:21,总计,集团,http://oil.chem99.com/news/27878967.html,183.3,3.26%,2018年3月,2.20%,2018-04-11,187.33,153.3
86.3,99.26,10.51%,2018-06-08 20:32:23,东北,地区,http://oil.chem99.com/news/27879023.html,34.7,15.02%,2018年3月,-2.39%,2018-04-11,33.87,30.65
24.3,12.97,114.74%,2018-06-08 20:32:23,华北,地区,http://oil.chem99.com/news/27879023.html,9.1,-46.63%,2018年3月,-32.75%,2018-04-11,6.12,2.85
130.6,144.86,27.29%,2018-06-08 20:32:23,华东,地区,http://oil.chem99.com/news/27879023.html,49.2,10.92%,2018年3月,8.56%,2018-04-11,53.41,41.96
87.5,93.16,25.57%,2018-06-08 20:32:23,华南,地区,http://oil.chem99.com/news/27879023.html,26.9,6.47%,2018年3月,27.25%,2018-04-11,34.23,27.26
4.98,3.72,21.98%,2018-06-08 20:32:23,华中,地区,http://oil.chem99.com/news/27879023.html,2.5,-25.30%,2018年3月,-55.60%,2018-04-11,1.11,0.91
142.5,133.77,12.80%,2018-06-08 20:32:23,山东,地区,http://oil.chem99.com/news/27879023.html,48,-6.13%,2018年3月,-4.90%,2018-04-11,45.65,40.47
23.84,33.59,40.65%,2018-06-08 20:32:23,西北,地区,http://oil.chem99.com/news/27879023.html,8.6,40.90%,2018年3月,50.47%,2018-04-11,12.94,9.2
6.3,1.5,#DIV/0!,2018-06-08 20:32:23,西南,地区,http://oil.chem99.com/news/27879023.html,4.3,-76.19%,2018年3月,-100.00%,2018-04-11,0,0
506.32,522.83,22.20%,2018-06-08 20:32:23,总计,地区,http://oil.chem99.com/news/27879023.html,183.3,3.26%,2018年3月,2.20%,2018-04-11,187.33,153.3
176.9,180.98,14.74%,2018-06-08 20:32:31,中石油,集团,http://oil.chem99.com/news/28156648.html,51.2,2.31%,2018年4月,8.42%,2018-05-10,55.51,48.38
254.62,237.06,8.15%,2018-06-08 20:32:31,中石化,集团,http://oil.chem99.com/news/28156648.html,68.7,-6.90%,2018年4月,-8.30%,2018-05-10,63,58.25
58.73,80.5,6.37%,2018-06-08 20:32:31,中海油,集团,http://oil.chem99.com/news/28156648.html,15.93,37.07%,2018年4月,36.22%,2018-05-10,21.7,20.4
207.6,234.5,16.09%,2018-06-08 20:32:31,地方炼厂,集团,http://oil.chem99.com/news/28156648.html,55.7,12.96%,2018年4月,25.67%,2018-05-10,70,60.3
697.85,730.04,12.21%,2018-06-08 20:32:31,总计,集团,http://oil.chem99.com/news/28156648.html,191.53,4.61%,2018年4月,9.75%,2018-05-10,210.21,187.33
124.4,138.37,15.47%,2018-06-08 20:32:39,东北,地区,http://oil.chem99.com/news/28156799.html,38.1,11.23%,2018年4月,2.65%,2018-05-10,39.11,33.87
34,20.37,20.92%,2018-06-08 20:32:39,华北,地区,http://oil.chem99.com/news/28156799.html,9.7,-40.09%,2018年4月,-23.71%,2018-05-10,7.4,6.12
181.63,199.96,3.16%,2018-06-08 20:32:39,华东,地区,http://oil.chem99.com/news/28156799.html,51.03,10.09%,2018年4月,7.98%,2018-05-10,55.1,53.41
112.8,130.06,7.80%,2018-06-08 20:32:39,华南,地区,http://oil.chem99.com/news/28156799.html,25.3,15.30%,2018年4月,45.85%,2018-05-10,36.9,34.23
8.08,4.82,-0.90%,2018-06-08 20:32:39,华中,地区,http://oil.chem99.com/news/28156799.html,3.1,-40.35%,2018年4月,-64.52%,2018-05-10,1.1,1.11
190.3,191.97,27.49%,2018-06-08 20:32:39,山东,地区,http://oil.chem99.com/news/28156799.html,47.8,0.88%,2018年4月,21.76%,2018-05-10,58.2,45.65
35.94,44.49,-15.77%,2018-06-08 20:32:39,西北,地区,http://oil.chem99.com/news/28156799.html,12.1,23.79%,2018年4月,-9.92%,2018-05-10,10.9,12.94
10.7,3,#DIV/0!,2018-06-08 20:32:39,西南,地区,http://oil.chem99.com/news/28156799.html,4.4,-71.96%,2018年4月,-65.91%,2018-05-10,1.5,0
697.85,730.04,12.21%,2018-06-08 20:32:39,总计,地区,http://oil.chem99.com/news/28156799.html,191.53,4.61%,2018年4月,9.75%,2018-05-10,210.21,187.33
